source_text,translated_text,context
Please enter name and phone,يرجى إدخال الاسم ورقم الهاتف,
Please enter delivery address,يرجى إدخال عنوان التوصيل,
No menu items available yet.,لا توجد أطباق متاحة حالياً,
No gallery images yet.,لا توجد صور حالياً,
For inquiries contact us,للاستفسار تواصل معنا,
Quick Links,روابط سريعة,
Follow Us,تابعنا,
All Rights Reserved,جميع الحقوق محفوظة,
Made with ❤️ by Arkan Labs,صنع بـ ❤️ بواسطة أركان لابز,
{0} demo records removed,تم حذف {0} سجل تجريبي,
Auto-generated from low stock alert,تم إنشاؤه تلقائياً من تنبيه نقص المخزون,
Below minimum stock: {0} {1},أقل من الحد الأدنى للمخزون: {0} {1},
Demo data is already installed.,البيانات التجريبية مثبتة مسبقاً,
⚠️ Food cost {0}% exceeds target {1}%,⚠️ تكلفة الطعام {0}% تتجاوز الهدف {1}%,
Invalid promo code,كود خصم غير صالح,
Invoice must contain at least one item,يجب أن تحتوي الفاتورة على صنف واحد على الأقل,
⚠️ Low stock: {0} — needed {1} {2} available {3},⚠️ نقص مخزون: {0} — مطلوب {1} {2} متاح {3},
Maximum party size is {0},الحد الأقصى لعدد الأشخاص هو {0},
Menu item not found,لم يتم العثور على الصنف,
Newsletter is currently disabled,النشرة البريدية معطلة حالياً,
No demo data to remove.,لا توجد بيانات تجريبية للحذف,
Not specified,غير محدد,
Online Order {0} not found,لم يتم العثور على الطلب أونلاين {0},
Online ordering is currently disabled,الطلب أونلاين معطل حالياً,
Order must contain at least one item,يجب أن يحتوي الطلب على صنف واحد على الأقل,
Order not found,لم يتم العثور على الطلب,
Order placed successfully!,تم الطلب بنجاح!,
POS Invoice {0} not found,لم يتم العثور على فاتورة نقطة البيع {0},
📝 Price change logged: {0} → {1} ({2}%),📝 تم تسجيل تغيير السعر: {0} → {1} ({2}%),
Promo code applied!,تم تطبيق كود الخصم!,
Reservations are currently disabled,الحجوزات معطلة حالياً,
Reservation submitted successfully!,تم إرسال الحجز بنجاح!,
Reviews are currently disabled,المراجعات معطلة حالياً,
Scheduled preventive maintenance for {0},صيانة وقائية مجدولة لـ {0},
Shift is not open,الوردية ليست مفتوحة,
Successfully subscribed!,تم الاشتراك بنجاح!,
Table {0} not found,لم يتم العثور على الطاولة {0},
Thank you for your review! It will be published after approval.,شكراً لمراجعتك! سيتم نشرها بعد الموافقة,
This promo code has expired,كود الخصم منتهي الصلاحية,
This promo code has reached its usage limit,كود الخصم وصل إلى الحد الأقصى للاستخدام,
This promo code is no longer active,كود الخصم لم يعد فعالاً,
This promo code is not yet valid,كود الخصم غير صالح بعد,
You already have an open shift: {0}. Close it first.,لديك وردية مفتوحة بالفعل: {0}. أغلقها أولاً,
You are already subscribed!,أنت مشترك بالفعل!,
Procurement,المشتريات,
Warehouses,المستودعات,
Production,الإنتاج,
Shifts,الورديات,
Daily Closing,الإقفال اليومي,
Assets,الأصول,
Marketing,التسويق,
Inventory,المخزون,
Staff,الموظفون,
Reports,التقارير,
Kitchen Display,عرض المطبخ,
Table Management,إدارة الطاولات,
POS Terminal,نقطة البيع,
Admin Dashboard,لوحة الإدارة,
Purchase Request,طلب شراء,
Purchase Order,أمر شراء,
Goods Receipt Note,إشعار استلام بضاعة,
Candela Supplier,مورد كانديلا,
Candela Warehouse,مستودع كانديلا,
Stock Transfer,تحويل مخزون,
Stock Reconciliation,جرد المخزون,
Kitchen Station,محطة مطبخ,
Production Log,سجل إنتاج,
Production Waste,هدر إنتاج,
POS Shift,وردية نقطة البيع,
Daily Expense,مصروف يومي,
Price Change Log,سجل تغيير الأسعار,
Restaurant Asset,أصل مطعم,
Maintenance Request,طلب صيانة,
Customer Persona,شخصية عميل,
Service Mode,نمط الخدمة,
Influencer,مؤثر,
Influencer Visit,زيارة مؤثر,
Corporate Account,حساب شركات,
Corporate Lunch Package,باقة غداء شركات,
Marketing Campaign,حملة تسويقية,
Campaign Activity,نشاط حملة,
Content Calendar Entry,إدخال تقويم المحتوى,
Online Review,مراجعة أونلاين,
Cafe Amenity,مرفق مقهى,
Competitor,منافس,
Staff Member,عضو فريق,
Chef Profile,ملف الشيف,
Restaurant Section,قسم المطعم,
Restaurant Event,فعالية المطعم,
Gift Card,بطاقة هدية,
Private Dining Package,باقة عشاء خاصة,
Gallery Image,صورة المعرض,
Newsletter Subscriber,مشترك النشرة البريدية,
Stock Entry,حركة مخزون,
Menu Category,فئة المنيو,
Menu Item,صنف المنيو,
Table Reservation,حجز طاولة,
Online Order,طلب أونلاين,
POS Invoice,فاتورة نقطة البيع,
Customer Review,مراجعة عميل,
Restaurant Table,طاولة مطعم,
Candela Settings,إعدادات كانديلا,
Delivery Zone,منطقة التوصيل,
Promo Code,كود خصم,
Ingredient,مكون,
Order Item,صنف الطلب,
Opening Hours,ساعات العمل,
Recipe Item,مكون الوصفة,
Reconciliation Item,بند الجرد,
GRN Item,بند الاستلام,
Purchase Request Item,بند طلب الشراء,
Purchase Order Item,بند أمر الشراء,
Stock Transfer Item,بند تحويل المخزون,
POS Invoice Item,بند فاتورة نقطة البيع,
Staff Shift,وردية الموظف,
Candela Manager,مدير كانديلا,
Candela Staff,موظف كانديلا,
Candela Chef,شيف كانديلا,
Candela Cashier,كاشير كانديلا,
Candela Waiter,ويتر كانديلا,
Candela Procurement,مشتريات كانديلا,
Candela Marketing,تسويق كانديلا,
Open Shift,فتح الوردية,
Close Shift,إغلاق الوردية,
Create Invoice,إنشاء فاتورة,
Approve,الموافقة,
Reject,رفض,
Submit,إرسال,
Cancel,إلغاء,
Delete,حذف,
Edit,تعديل,
Save,حفظ,
Print,طباعة,
Export,تصدير,
Import,استيراد,
Filter,فلترة,
Search,بحث,
Refresh,تحديث,
Loading,جاري التحميل,
No data,لا توجد بيانات,
Error,خطأ,
Success,نجاح,
Warning,تحذير,
Active,نشط,
Inactive,غير نشط,
Draft,مسودة,
Approved,موافق عليه,
Rejected,مرفوض,
Completed,مكتمل,
Cancelled,ملغي,
In Progress,قيد التنفيذ,
Overdue,متأخر,
Urgent,عاجل,
High,مرتفع,
Medium,متوسط,
Low,منخفض,
Today,اليوم,
Yesterday,أمس,
This Week,هذا الأسبوع,
This Month,هذا الشهر,
Last Month,الشهر الماضي,
Total Sales,إجمالي المبيعات,
Total Orders,إجمالي الطلبات,
Total Revenue,إجمالي الإيرادات,
Average Order Value,متوسط قيمة الطلب,
Food Cost Percentage,نسبة تكلفة الطعام,
Net Profit,صافي الربح,
Gross Profit,إجمالي الربح,
Expenses,المصروفات,
Revenue,الإيرادات,
Quantity,الكمية,
Unit,الوحدة,
Rate,السعر,
Amount,المبلغ,
Tax,الضريبة,
Grand Total,الإجمالي الكلي,
Status,الحالة,
Date,التاريخ,
Time,الوقت,
Description,الوصف,
Category,الفئة,
Priority,الأولوية,
Assigned To,مسند إلى,
Created By,أنشئ بواسطة,
Modified By,عدل بواسطة,
Creation,تاريخ الإنشاء,
Last Modified,آخر تعديل,
Candela Restaurant,مطعم كانديلا,
Italian Café & Restaurant,مقهى ومطعم إيطالي,
Arkan Labs,أركان لابز,
View Dashboard,عرض لوحة المعلومات,
Manage Menu,إدارة المنيو,
Manage Reservations,إدارة الحجوزات,
Manage Orders,إدارة الطلبات,
Operate POS,تشغيل نقطة البيع,
Manage Kitchen,إدارة المطبخ,
Manage Tables,إدارة الطاولات,
Manage Procurement,إدارة المشتريات,
Approve Purchases,الموافقة على المشتريات,
Manage Stock,إدارة المخزون,
Manage Production,إدارة الإنتاج,
Manage Marketing,إدارة التسويق,
Manage Assets,إدارة الأصول,
Manage Staff,إدارة الموظفين,
View Reports,عرض التقارير,
Export Reports,تصدير التقارير,
Manage Settings,إدارة الإعدادات,
View Cost Data,عرض بيانات التكلفة,
Manage Reviews,إدارة المراجعات,
Manage Website,إدارة الموقع,
@Handle,المعرف,
"A complete restaurant operations platform covering menu management, table reservations, online ordering, POS, kitchen display, procurement, inventory, production tracking, staff management, marketing campaigns, and a stunning customer-facing website.","منصة شاملة لإدارة عمليات المطاعم تغطي إدارة القائمة وحجوزات الطاولات والطلبات الإلكترونية ونقطة البيع وشاشة المطبخ والمشتريات والمخزون وتتبع الإنتاج وإدارة الموظفين والحملات التسويقية وموقع إلكتروني مذهل.",
About Image,صورة من نحن,
About Section,قسم من نحن,
About Text (Arabic),نص من نحن (عربي),
About Text (English),نص من نحن (إنجليزي),
About Title (Arabic),عنوان من نحن (عربي),
About Title (English),عنوان من نحن (إنجليزي),
Abu Dhabi,أبو ظبي,
Active Days,الأيام النشطة,
Actual Delivery Time,وقت التسليم الفعلي,
Actual Prep Time (min),وقت التحضير الفعلي (دقيقة),
Ad,إعلان,
Add Staff,إضافة موظف,
Address (Arabic),العنوان (عربي),
Address (English),العنوان (إنجليزي),
Adjusted,مُعدَّل,
Adjustment,تعديل,
Advance Booking (days),الحجز المسبق (أيام),
Age Range,الفئة العمرية,
Ajman,عجمان,
All rights reserved.,جميع الحقوق محفوظة.,
Ambiance Settings,إعدادات الأجواء,
Amenity Name (Arabic),اسم المرفق (عربي),
Analysis,تحليل,
Approved Date,تاريخ الموافقة,
"As a manager, your home is the Admin Dashboard at /deladmin. Here you see today's reservations, order count, revenue, and alerts.","كمدير، لوحة التحكم في /deladmin هي صفحتك الرئيسية. هنا ترى حجوزات اليوم وعدد الطلبات والإيرادات والتنبيهات.",
Asset Code,رمز الأصل,
Assigned Chef,الشيف المُكلَّف,
Assigned Table,الطاولة المُعيَّنة,
Assigned Tables,الطاولات المُعيَّنة,
Assigned To (Technician),مُعيَّن إلى (الفني),
"At end of day, visit /deladmin/closing to reconcile POS totals, record expenses, and generate the daily report.","في نهاية اليوم، زر /deladmin/closing لمطابقة إجماليات نقطة البيع وتسجيل المصروفات وإنشاء التقرير اليومي.",
Audit,تدقيق,
Audit Notes,ملاحظات التدقيق,
Audited,مُدقَّق,
Audited By,دُقِّق بواسطة,
Auto-Confirm Reservations,تأكيد الحجوزات تلقائياً,
Available for Delivery,متاح للتوصيل,
Avatar,الصورة الشخصية,
Avg Order Value,متوسط قيمة الطلب,
Bakery,المخبز,
Bank Deposit,إيداع بنكي,
Banner Text (Arabic),نص البانر (عربي),
Banner Text (English),نص البانر (إنجليزي),
Barista,باريستا,
Bartender,بارتندر,
Behavior,السلوك,
Beverages,المشروبات,
Blog,مدونة,
Booking Link,رابط الحجز,
"Booking patterns, no-show rates, peak hours, table utilization.","أنماط الحجز ونسب عدم الحضور وساعات الذروة واستغلال الطاولات.",
Brand / Model,الماركة / الموديل,
Brand Colors,ألوان العلامة التجارية,
Branding,الهوية البصرية,
Bright,ساطع,
Build Your Menu,أنشئ قائمتك,
Burnt,محترق,
CAST-.YYYY.-.#####,CAST-.YYYY.-.#####,
CCA-.YYYY.-.#####,CCA-.YYYY.-.#####,
CCMP-.YYYY.-.#####,CCMP-.YYYY.-.#####,
CDC-.YYYY.-.#####,CDC-.YYYY.-.#####,
CGRN-.YYYY.-.#####,CGRN-.YYYY.-.#####,
CMNT-.YYYY.-.#####,CMNT-.YYYY.-.#####,
CORD-.YYYY.-.#####,CORD-.YYYY.-.#####,
CPR-.YYYY.-.#####,CPR-.YYYY.-.#####,
CPROD-.YYYY.-.#####,CPROD-.YYYY.-.#####,
CREC-.YYYY.-.#####,CREC-.YYYY.-.#####,
CREV-.YYYY.-.#####,CREV-.YYYY.-.#####,
CSHIFT-.YYYY.-.#####,CSHIFT-.YYYY.-.#####,
CSTX-.YYYY.-.#####,CSTX-.YYYY.-.#####,
CafeOrCoffeeShop,مقهى,
Café & Coffee Shop,مقهى وكوفي شوب,
Calories,السعرات الحرارية,
Campaign management and activity tracking,إدارة الحملات وتتبع الأنشطة,
"Campaigns, promo codes, reviews, newsletter, events","الحملات والأكواد الترويجية والتقييمات والنشرة البريدية والفعاليات",
Can Combine,قابل للدمج,
Candela,كانديلا,
Candela Domain,نطاق كانديلا,
Candela adapts to different food service businesses:,كانديلا تتكيف مع مختلف أنواع خدمات الطعام:,
Candela connects with the Arkan Lab ecosystem:,كانديلا تتكامل مع منظومة أركان لاب:,
"Candela is organized into 8 functional modules, each with dedicated DocTypes and workflows:","كانديلا منظمة في 8 وحدات وظيفية، لكل منها أنواع مستندات وسير عمل مخصصة:",
Candela uses CAPS for fine-grained permissions with 21 capabilities across 6 bundles:,كانديلا تستخدم CAPS للصلاحيات الدقيقة مع 21 صلاحية عبر 6 حزم:,
Card Collected,البطاقات المُحصَّلة,
Cash Collected,النقد المُحصَّل,
Cash Expenses,المصروفات النقدية,
Cash Position,الوضع النقدي,
Cash Received,النقد المستلم,
Cash Variance,فرق النقدية,
Cash on Delivery,الدفع عند الاستلام,
Category Name (Arabic),اسم الفئة (عربي),
Category Name (English),اسم الفئة (إنجليزي),
Category Name (Italian),اسم الفئة (إيطالي),
Catering,تموين,
Celebrity,مشهور,
Central configuration for Candela Restaurant website and operations.,الإعدادات المركزية لموقع وعمليات مطعم كانديلا.,
Chain,سلسلة,
Change %,نسبة التغيير,
Changed At,تاريخ التغيير,
Changed By,غُيِّر بواسطة,
Channels,القنوات,
Check today's reservations. Greet customers by name and seat them at their reserved table.,تحقق من حجوزات اليوم. رحب بالعملاء بأسمائهم وأجلسهم على طاولاتهم المحجوزة.,
Chef / Kitchen Staff,الشيف / طاقم المطبخ,
"Chef prepares food, marks production log with ingredients used","الشيف يحضّر الطعام ويسجّل المكونات المستخدمة في سجل الإنتاج",
Cleaning,تنظيف,
Close Time,وقت الإغلاق,
Closing Cash,النقد عند الإغلاق,
Closing Time,وقت الإقفال,
Cold Line,خط بارد,
Cold Storage,تخزين مبرد,
Collections,التحصيلات,
"Comma-separated table numbers, e.g. T1, T2, T3","أرقام الطاولات مفصولة بفواصل، مثال: T1, T2, T3",
Company TRN,الرقم الضريبي للشركة,
Configure Operations,تهيئة العمليات,
Configure Settings,تهيئة الإعدادات,
Confirmation Method,طريقة التأكيد,
Confirmation Sent,تم إرسال التأكيد,
Contact & Location,التواصل والموقع,
Contact your administrator for role-specific training.,تواصل مع المسؤول للحصول على تدريب خاص بدورك.,
Contains Nuts,يحتوي على مكسرات,
Content Tone,نبرة المحتوى,
Corporate Catering,تموين الشركات,
"Corporate lunch packages, bulk ordering, recurring meal plans, dietary accommodation tracking, invoice consolidation","باقات غداء الشركات والطلبات بالجملة وخطط الوجبات المتكررة وتتبع المتطلبات الغذائية وتوحيد الفواتير",
Cost per Unit,التكلفة لكل وحدة,
"Cost per dish, ingredient price trends, waste percentage, profit margins per menu category.","تكلفة كل طبق واتجاهات أسعار المكونات ونسبة الهدر وهوامش الربح لكل فئة.",
Cost/Unit,التكلفة/الوحدة,
Counted By,جُرِد بواسطة,
Counted Qty,الكمية المُحصاة,
Counting,جرد,
Covers (Guests),عدد الضيوف,
Crafted by,صنع بواسطة,
"Create and manage your full menu with categories, items, ingredients, dietary tags, and pricing","أنشئ وأدر قائمة طعامك الكاملة بالفئات والأصناف والمكونات والعلامات الغذائية والأسعار",
"Create marketing campaigns with activities, budgets, and ROI tracking.","أنشئ حملات تسويقية مع الأنشطة والميزانيات وتتبع العائد على الاستثمار.",
"Create menu categories, add items with ingredients, pricing, and photos","أنشئ فئات القائمة وأضف الأصناف مع المكونات والأسعار والصور",
"Create orders at /deladmin/pos. Select items, apply promos, and send to kitchen.","أنشئ الطلبات في /deladmin/pos. اختر الأصناف وطبّق العروض وأرسل للمطبخ.",
"Create users and assign roles: Manager, Chef, Waiter, Cashier, Procurement","أنشئ المستخدمين وعيّن الأدوار: مدير، شيف، نادل، كاشير، مشتريات",
Credit 15 Days,ائتمان 15 يوم,
Credit 30 Days,ائتمان 30 يوم,
Credit 7 Days,ائتمان 7 أيام,
Cuisine,المطبخ,
Currency Code,رمز العملة,
Currency Symbol,رمز العملة,
Current Bookings,الحجوزات الحالية,
Current Value,القيمة الحالية,
"Current stock levels, reorder alerts, consumption rate, shelf life tracking.","مستويات المخزون الحالية وتنبيهات إعادة الطلب ومعدل الاستهلاك وتتبع الصلاحية.",
Custom Banner,بانر مخصص,
Custom Head HTML,HTML مخصص في الرأس,
Custom JS,جافاسكربت مخصص,
Customer & Table,العميل والطاولة,
Customer Facing,واجهة العميل,
Customer Insights,رؤى العملاء,
Customer Name in Arabic,اسم العميل بالعربي,
Customer Photo,صورة العميل,
Customer Website,موقع العملاء,
Customer preferences and notes,تفضيلات وملاحظات العملاء,
Customer reviews and ratings,تقييمات ومراجعات العملاء,
Customer website with real-time order tracking and delivery zones,موقع العملاء مع تتبع الطلبات لحظياً ومناطق التوصيل,
Daily Orders Summary,ملخص الطلبات اليومي,
Daily Prep,التحضير اليومي,
Daily closing reconciliation,مطابقة الإقفال اليومي,
Daily expense recording,تسجيل المصروفات اليومية,
Dairy,ألبان,
Dairy-Free,خالي من الألبان,
Data-Driven Restaurant Management,إدارة مطاعم مبنية على البيانات,
Decision Factors,عوامل القرار,
Decommissioned,خارج الخدمة,
Default Delivery Fee,رسوم التوصيل الافتراضية,
Default Language,اللغة الافتراضية,
"Define your floor plan with table numbers, capacities, and zones","حدد مخطط الطابق بأرقام الطاولات والسعات والمناطق",
Delivery Included,التوصيل شامل,
Delivery Revenue,إيرادات التوصيل,
Delivery Time,وقت التوصيل,
Delivery-First Kitchen,مطبخ يركز على التوصيل,
Demo,تجريبي,
Demo Data,بيانات تجريبية,
Demo Data Installed,تم تثبيت البيانات التجريبية,
Demo Data Removed,تم حذف البيانات التجريبية,
Demo Installed On,تم التثبيت التجريبي في,
